gold-label:,id,prediction:
18,761747542392639488,2
5,663065441779191808,0
0,746840069772877825,1
13,709834906076094470,0
4,662376080729182209,2
3,795351524134240260,0
6,747595977855401985,0
5,793971058374299648,0
0,754847774567440384,2
1,671162244563083264,0
0,738493769549500417,0
2,768886284551094273,2
2,803649028177219584,0
0,680752404774531072,0
5,738077479093571584,0
11,761400371688472576,0
3,764170131748622341,0
12,813140559179214848,17
0,808033872155910144,0
12,826837325753643008,1
1,815547818446389248,0
5,655002621166637056,1
13,668197261743099904,0
1,657062596332359680,2
0,810565370931187713,0
17,811282909319532545,17
7,787732145842388994,2
19,758411900870733825,4
3,710896697375764481,0
7,760065178272604160,10
4,720580654811885568,1
0,696797458148380672,10
9,801947716800520192,0
2,744214290379509761,0
2,734553184006344704,0
2,772151669949927424,0
2,725439505470103553,0
3,803100154039517185,0
10,716354481764622336,0
10,770015715512426497,2
4,691040803762913280,4
11,749321200917221376,0
12,748756147000139778,0
1,721542535663845376,0
11,757397388004827136,11
17,670408998638649345,17
8,781247008464076801,0
17,816857100156596224,0
12,814365145711247360,12
2,673530976983605249,2
0,790255334422044673,10
16,674009618914365444,0
2,767884484683436032,2
0,812729032957657088,0
1,795445247429877760,10
4,787838335280517121,4
17,803414262207094784,17
13,769170073265242112,0
7,713439911299457025,0
12,748312570054979588,0
3,762130631560089600,0
13,725802951365812224,2
10,664827858607546369,18
1,782393734084296704,1
8,729165339058180096,0
10,821429263647784960,1
0,764228659532140544,0
0,680449153340715008,0
6,762701061178134528,1
1,657759402510938112,0
5,677918005666402304,0
6,703451231793127424,4
3,738547357407580160,0
0,782031989519986688,1
1,668129062288621569,0
10,747803831388540929,10
0,672479006638391296,0
18,710839446023774212,0
10,729012345666711553,18
0,803593940670746624,0
9,662818080133922816,0
16,767788475001151488,0
11,763176110058201088,0
7,667803354375061504,12
6,744688703457660928,0
2,765449171247693824,2
15,669010879229358084,0
3,772204397635903488,0
2,825052909171642368,4
1,738772329724051457,1
0,687331340098899969,0
2,728171270936858624,0
19,712741633192697858,0
0,757910359328120837,0
1,768604893754032132,0
8,668514025953558528,0
17,680471950075031555,17
14,772833838766563329,0
1,732768413437833216,1
1,810056951522394112,2
5,659767805177294849,0
8,668272040382742528,2
16,657011441812180993,0
0,707705288539770880,0
10,711940608818962432,0
5,742473086361034752,0
11,702960306868264960,0
